track,frame_idx,instance.score,left_pec_fin_tip.x,left_pec_fin_tip.y,left_pec_fin_tip.score,right_eye.x,right_eye.y,right_eye.score,left_eye.x,left_eye.y,left_eye.score,right_pec_fin_base.x,right_pec_fin_base.y,right_pec_fin_base.score,anus.x,anus.y,anus.score,hyoid.x,hyoid.y,hyoid.score,dorsal_caudal.x,dorsal_caudal.y,dorsal_caudal.score,peduncle.x,peduncle.y,peduncle.score,pelvic_fin_base.x,pelvic_fin_base.y,pelvic_fin_base.score,ventral_caudal.x,ventral_caudal.y,ventral_caudal.score,right_pec_fin_tip.x,right_pec_fin_tip.y,right_pec_fin_tip.score,left_pec_fin_base.x,left_pec_fin_base.y,left_pec_fin_base.score,snout.x,snout.y,snout.score
,0,2.0799403190612793,800.495849609375,504.38104248046875,0.3696485161781311,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,1112.3551025390625,404.5225524902344,0.9099618196487427,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
,1,1.6419434547424316,1076.24560546875,539.9873657226562,0.5344091057777405,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,525.1464233398438,347.9300537109375,0.23163211345672607,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
,2,3.333012342453003,1039.421142578125,488.2212829589844,0.3519294559955597,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,520.3618774414062,492.5365295410156,1.3582769632339478,586.876953125,568.3079833984375,0.29924485087394714,1408.44921875,316.2274475097656,0.2443920522928238,,,0.0,516.6580200195312,485.58428955078125,0.31113913655281067,,,0.0,,,0.0
,3,3.7091128826141357,1008.5181884765625,483.4114685058594,0.511461615562439,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,456.600830078125,488.796142578125,1.858522891998291,,,0.0,,,0.0,,,0.0,1007.9175415039062,468.3623046875,0.4383372962474823,,,0.0,,,0.0
,4,2.498232126235962,365.07672119140625,524.861572265625,0.5962194204330444,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,411.9007263183594,444.5211181640625,0.9388806819915771,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
,5,2.5378103256225586,352.5680236816406,448.4856872558594,0.5906721949577332,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,356.3357238769531,436.8919982910156,0.6890027523040771,240.5067138671875,445.01409912109375,0.21900464594364166,,,0.0,904.4746704101562,556.9874877929688,0.239649698138237,,,0.0,,,0.0,,,0.0
,6,2.8555307388305664,292.34307861328125,432.26300048828125,0.7799914479255676,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,388.99383544921875,556.40869140625,0.9579482078552246,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
,7,2.32464337348938,231.56576538085938,423.549560546875,0.4318985641002655,231.28829956054688,420.10687255859375,0.25509244203567505,,,0.0,,,0.0,,,0.0,,,0.0,840.6712036132812,612.1702880859375,0.5050725936889648,,,0.0,,,0.0,,,0.0,225.55633544921875,417.10107421875,0.4635743200778961,,,0.0,,,0.0
,8,1.0483431816101074,728.3590698242188,456.379150390625,0.20956724882125854,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
,9,0.9787474274635315,689.7941284179688,620.6105346679688,0.23396116495132446,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
